17, 3, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 0
17, 3, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
14, 6, 0
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 0
16, 4, 1
16, 4, 1
15, 5, 0
14, 6, 1
16, 4, 0
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 0
15, 5, 1
15, 5, 1
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
13, 7, 1
15, 5, 0
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
13, 7, 1
15, 5, 1
15, 5, 1
16, 4, 1
16, 4, 1
17, 3, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 0
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 0
15, 5, 1
14, 6, 1
16, 4, 1
14, 6, 0
16, 4, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 1
16, 4, 1
16, 4, 1
14, 6, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 0
14, 6, 1
16, 4, 1
15, 5, 1
16, 4, 1
15, 5, 0
14, 6, 1
14, 6, 1
18, 2, 1
15, 5, 1
14, 6, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
16, 4, 1
15, 5, 1
15, 5, 1
14, 6, 1
17, 3, 1
15, 5, 0
15, 5, 0
15, 5, 1
15, 5, 1
19, 1, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
16, 4, 1
16, 4, 1
15, 5, 0
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 0
14, 6, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
18, 2, 1
15, 5, 0
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 0
15, 5, 1
15, 5, 1
17, 3, 1
14, 6, 0
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 0
13, 7, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 0
15, 5, 1
16, 4, 1
15, 5, 1
17, 3, 1
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 1
14, 6, 1
15, 5, 1
14, 6, 0
13, 7, 1
14, 6, 1
15, 5, 0
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 0
18, 2, 1
17, 3, 1
14, 6, 1
15, 5, 1
17, 3, 1
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
13, 7, 1
14, 6, 0
16, 4, 1
16, 4, 1
14, 6, 0
16, 4, 0
15, 5, 0
15, 5, 1
14, 6, 0
15, 5, 1
16, 4, 1
14, 6, 1
14, 6, 1
14, 6, 1
14, 6, 1
16, 4, 1
14, 6, 1
16, 4, 1
15, 5, 1
16, 4, 1
15, 5, 0
15, 5, 0
15, 5, 1
15, 5, 0
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 0
15, 5, 0
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 0
16, 4, 1
15, 5, 0
16, 4, 1
15, 5, 0
13, 7, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
13, 7, 1
14, 6, 1
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
19, 1, 1
15, 5, 1
16, 4, 1
15, 5, 1
14, 6, 0
16, 4, 1
15, 5, 1
14, 6, 1
14, 6, 1
16, 4, 1
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 1
13, 7, 1
15, 5, 1
15, 5, 1
17, 3, 0
16, 4, 0
15, 5, 1
15, 5, 1
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
14, 6, 1
16, 4, 0
17, 3, 1
15, 5, 1
14, 6, 1
13, 7, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
16, 4, 1
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 1
14, 6, 1
14, 6, 1
14, 6, 1
15, 5, 0
15, 5, 1
14, 6, 1
15, 5, 1
16, 4, 1
14, 6, 1
13, 7, 1
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 0
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 1
18, 2, 1
14, 6, 1
15, 5, 0
14, 6, 1
14, 6, 1
16, 4, 1
15, 5, 1
15, 5, 0
16, 4, 1
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 0
13, 7, 0
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 0
14, 6, 1
15, 5, 0
16, 4, 1
15, 5, 0
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 1
13, 7, 0
14, 6, 1
15, 5, 1
14, 6, 1
17, 3, 1
14, 6, 0
15, 5, 1
14, 6, 1
14, 6, 1
13, 7, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
16, 4, 1
15, 5, 1
13, 7, 0
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
13, 7, 1
14, 6, 1
18, 2, 1
14, 6, 1
19, 1, 1
15, 5, 1
17, 3, 1
14, 6, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
14, 6, 0
14, 6, 1
16, 4, 1
15, 5, 0
15, 5, 0
15, 5, 1
14, 6, 1
17, 3, 1
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 1
14, 6, 1
16, 4, 0
17, 3, 1
15, 5, 0
14, 6, 1
15, 5, 1
14, 6, 1
17, 3, 1
14, 6, 1
15, 5, 1
15, 5, 0
14, 6, 1
14, 6, 0
16, 4, 0
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 1
15, 5, 0
15, 5, 1
16, 4, 1
15, 5, 1
17, 3, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
16, 4, 1
16, 4, 0
15, 5, 1
17, 3, 1
16, 4, 1
15, 5, 1
15, 5, 1
16, 4, 0
14, 6, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
14, 6, 0
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
17, 3, 1
15, 5, 0
16, 4, 1
14, 6, 1
17, 3, 1
15, 5, 1
16, 4, 1
13, 7, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 0
14, 6, 1
15, 5, 0
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
17, 3, 1
15, 5, 1
15, 5, 0
15, 5, 0
14, 6, 1
17, 3, 0
15, 5, 0
15, 5, 1
15, 5, 1
17, 3, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 0
14, 6, 1
14, 6, 1
14, 6, 1
15, 5, 1
16, 4, 1
15, 5, 0
15, 5, 0
15, 5, 1
15, 5, 0
14, 6, 1
14, 6, 0
16, 4, 0
15, 5, 1
14, 6, 1
17, 3, 1
16, 4, 1
16, 4, 1
13, 7, 1
17, 3, 1
15, 5, 1
16, 4, 1
16, 4, 1
15, 5, 0
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 0
16, 4, 1
15, 5, 1
16, 4, 0
13, 7, 1
16, 4, 1
15, 5, 0
14, 6, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 1
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 1
16, 4, 1
15, 5, 1
14, 6, 1
16, 4, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
14, 6, 0
17, 3, 1
16, 4, 1
13, 7, 1
15, 5, 1
14, 6, 1
14, 6, 0
15, 5, 1
14, 6, 1
15, 5, 1
14, 6, 0
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 0
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
17, 3, 1
16, 4, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
18, 2, 1
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
17, 3, 1
15, 5, 1
16, 4, 1
15, 5, 0
15, 5, 1
17, 3, 1
18, 2, 1
15, 5, 0
16, 4, 0
15, 5, 1
15, 5, 1
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 0
15, 5, 1
14, 6, 0
14, 6, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
17, 3, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
19, 1, 1
16, 4, 1
15, 5, 0
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 0
14, 6, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
14, 6, 0
15, 5, 0
14, 6, 0
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 0
14, 6, 0
15, 5, 1
16, 4, 1
14, 6, 1
16, 4, 0
14, 6, 1
15, 5, 1
14, 6, 1
14, 6, 0
15, 5, 1
14, 6, 1
15, 5, 1
14, 6, 0
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 1
15, 5, 0
14, 6, 1
15, 5, 0
15, 5, 0
14, 6, 1
15, 5, 1
15, 5, 1
17, 3, 1
15, 5, 0
15, 5, 1
18, 2, 1
14, 6, 1
14, 6, 0
15, 5, 0
16, 4, 1
16, 4, 1
15, 5, 0
15, 5, 0
15, 5, 1
14, 6, 1
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 0
15, 5, 1
18, 2, 1
14, 6, 0
15, 5, 1
15, 5, 1
14, 6, 0
16, 4, 1
17, 3, 1
13, 7, 1
15, 5, 0
13, 7, 1
16, 4, 1
15, 5, 1
16, 4, 0
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 0
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 1
14, 6, 1
15, 5, 0
15, 5, 1
17, 3, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
17, 3, 1
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 0
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
14, 6, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 1
16, 4, 1
14, 6, 1
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 0
15, 5, 1
16, 4, 1
15, 5, 1
14, 6, 0
14, 6, 1
14, 6, 1
14, 6, 1
14, 6, 1
15, 5, 1
16, 4, 1
14, 6, 0
17, 3, 1
15, 5, 0
15, 5, 0
14, 6, 1
15, 5, 1
14, 6, 1
14, 6, 1
16, 4, 1
14, 6, 1
15, 5, 0
15, 5, 0
14, 6, 0
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
16, 4, 1
17, 3, 1
14, 6, 1
14, 6, 1
15, 5, 1
16, 4, 1
14, 6, 1
13, 7, 0
16, 4, 1
15, 5, 1
14, 6, 0
15, 5, 0
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 0
16, 4, 1
15, 5, 0
16, 4, 1
15, 5, 0
15, 5, 1
13, 7, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 0
16, 4, 1
15, 5, 1
16, 4, 1
15, 5, 1
16, 4, 1
16, 4, 1
16, 4, 1
15, 5, 1
14, 6, 0
15, 5, 1
15, 5, 1
15, 5, 1
13, 7, 1
16, 4, 1
13, 7, 1
15, 5, 1
16, 4, 1
14, 6, 0
14, 6, 1
14, 6, 1
15, 5, 0
15, 5, 0
16, 4, 1
15, 5, 1
16, 4, 1
15, 5, 1
16, 4, 1
16, 4, 1
13, 7, 1
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 0
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 0
13, 7, 1
15, 5, 1
13, 7, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 0
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 1
16, 4, 1
14, 6, 1
14, 6, 1
16, 4, 1
15, 5, 1
14, 6, 0
16, 4, 0
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
17, 3, 1
15, 5, 1
15, 5, 0
16, 4, 1
13, 7, 1
14, 6, 0
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 1
17, 3, 1
15, 5, 0
15, 5, 0
15, 5, 1
14, 6, 0
14, 6, 1
14, 6, 0
15, 5, 1
15, 5, 0
16, 4, 1
14, 6, 1
16, 4, 1
14, 6, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 0
15, 5, 1
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 0
13, 7, 0
14, 6, 1
17, 3, 1
16, 4, 0
15, 5, 1
15, 5, 1
14, 6, 0
15, 5, 1
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 0
14, 6, 1
13, 7, 1
15, 5, 0
15, 5, 1
14, 6, 1
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 0
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
13, 7, 1
15, 5, 1
13, 7, 1
15, 5, 0
15, 5, 1
16, 4, 1
14, 6, 0
15, 5, 0
15, 5, 1
14, 6, 1
16, 4, 1
17, 3, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
14, 6, 1
16, 4, 1
16, 4, 1
14, 6, 1
15, 5, 1
16, 4, 1
15, 5, 0
14, 6, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 0
13, 7, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 1
16, 4, 1
15, 5, 0
15, 5, 1
14, 6, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
13, 7, 1
15, 5, 1
16, 4, 1
14, 6, 0
15, 5, 1
14, 6, 1
14, 6, 1
14, 6, 1
15, 5, 1
15, 5, 0
13, 7, 1
14, 6, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
13, 7, 1
15, 5, 1
17, 3, 1
15, 5, 0
14, 6, 1
14, 6, 1
15, 5, 1
15, 5, 0
14, 6, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
14, 6, 1
15, 5, 1
14, 6, 0
15, 5, 1
16, 4, 1
15, 5, 0
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 1
15, 5, 0
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 1
16, 4, 0
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 0
15, 5, 1
16, 4, 1
13, 7, 1
15, 5, 0
15, 5, 0
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 0
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 0
15, 5, 1
14, 6, 1
17, 3, 1
15, 5, 0
15, 5, 1
16, 4, 0
15, 5, 1
15, 5, 0
14, 6, 1
15, 5, 1
14, 6, 1
14, 6, 1
14, 6, 1
14, 6, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
16, 4, 1
16, 4, 1
15, 5, 0
16, 4, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
17, 3, 1
15, 5, 1
15, 5, 0
18, 2, 1
15, 5, 1
14, 6, 1
15, 5, 0
15, 5, 1
16, 4, 1
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
14, 6, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
16, 4, 1
16, 4, 1
15, 5, 1
16, 4, 0
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 0
14, 6, 0
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 1
16, 4, 1
16, 4, 1
15, 5, 0
15, 5, 1
14, 6, 0
14, 6, 1
15, 5, 0
14, 6, 0
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
14, 6, 1
15, 5, 1
16, 4, 1
17, 3, 1
15, 5, 1
16, 4, 1
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 1
14, 6, 1
16, 4, 1
15, 5, 1
16, 4, 1
16, 4, 0
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
17, 3, 1
14, 6, 1
15, 5, 0
15, 5, 1
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 1
14, 6, 0
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 0
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 0
15, 5, 0
17, 3, 1
15, 5, 0
14, 6, 1
15, 5, 1
16, 4, 1
15, 5, 0
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 1
14, 6, 1
15, 5, 1
17, 3, 1
15, 5, 1
14, 6, 1
15, 5, 1
17, 3, 1
15, 5, 1
15, 5, 1
15, 5, 1
18, 2, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
16, 4, 0
15, 5, 1
15, 5, 1
14, 6, 0
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
13, 7, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
14, 6, 0
14, 6, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 0
15, 5, 0
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 1
15, 5, 1
14, 6, 1
16, 4, 1
16, 4, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 0
14, 6, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
17, 3, 1
17, 3, 1
14, 6, 1
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
16, 4, 1
14, 6, 0
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 0
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 1
15, 5, 0
15, 5, 1
17, 3, 1
15, 5, 1
14, 6, 1
16, 4, 1
15, 5, 1
15, 5, 1
14, 6, 1
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
16, 4, 1
12, 8, 1
16, 4, 1
15, 5, 1
16, 4, 1
14, 6, 1
14, 6, 1
14, 6, 1
15, 5, 0
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 0
15, 5, 0
15, 5, 1
17, 3, 1
15, 5, 0
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
13, 7, 1
16, 4, 1
14, 6, 0
14, 6, 1
16, 4, 1
15, 5, 0
15, 5, 1
15, 5, 0
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 0
14, 6, 1
15, 5, 1
15, 5, 0
14, 6, 0
14, 6, 0
15, 5, 1
14, 6, 1
16, 4, 1
16, 4, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
14, 6, 0
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 0
15, 5, 0
16, 4, 1
14, 6, 1
15, 5, 1
14, 6, 1
15, 5, 1
14, 6, 1
16, 4, 1
16, 4, 1
14, 6, 1
15, 5, 1
17, 3, 1
15, 5, 1
15, 5, 0
13, 7, 1
15, 5, 0
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 0
15, 5, 1
14, 6, 1
14, 6, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 0
14, 6, 1
14, 6, 1
15, 5, 0
13, 7, 0
16, 4, 0
15, 5, 1
15, 5, 0
15, 5, 1
14, 6, 0
16, 4, 0
16, 4, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
16, 4, 1
15, 5, 1
14, 6, 1
15, 5, 1
14, 6, 1
14, 6, 0
15, 5, 0
14, 6, 1
16, 4, 1
15, 5, 1
15, 5, 0
15, 5, 1
16, 4, 1
14, 6, 1
15, 5, 0
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 0
13, 7, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 1
14, 6, 0
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 1
14, 6, 1
15, 5, 1
14, 6, 1
15, 5, 1
14, 6, 0
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 0
14, 6, 1
16, 4, 1
14, 6, 1
14, 6, 1
14, 6, 1
14, 6, 0
14, 6, 1
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 0
15, 5, 1
16, 4, 1
15, 5, 1
16, 4, 1
17, 3, 1
15, 5, 1
16, 4, 1
13, 7, 1
15, 5, 1
16, 4, 1
16, 4, 1
14, 6, 1
15, 5, 1
16, 4, 1
15, 5, 1
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 1
14, 6, 1
15, 5, 1
17, 3, 1
15, 5, 1
14, 6, 1
14, 6, 1
15, 5, 1
14, 6, 0
14, 6, 0
15, 5, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
13, 7, 1
16, 4, 1
16, 4, 1
14, 6, 0
14, 6, 1
15, 5, 0
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 1
15, 5, 0
15, 5, 0
14, 6, 1
15, 5, 1
16, 4, 1
15, 5, 0
14, 6, 1
16, 4, 1
15, 5, 1
15, 5, 0
16, 4, 1
15, 5, 1
15, 5, 1
